Id,weight
P1099,18
P1818,18
P0875,18
P0710,18
P0275,18
P0803,18
P0983,18
P0340,18
P1121,18
P1258,18
P0666,18
P0143,18
P0456,18
P0746,18
P1341,18
P1220,18
P0192,18
P1249,18
P1584,18
P1404,18
P1490,18
P0398,17
P0762,17
P0816,17
P0813,17
P0819,17
P0303,17
P0759,17
P0344,17
P0550,17
P0943,17
P1681,17
P0058,17
P0281,17
P1131,17
P0611,17
P0863,17
P0500,17
P1287,17
P1251,17
P1335,17
P0193,17
P1319,17
P1269,17
P0903,17
P0740,17
P1407,17
P1605,16
P0517,16
P0556,16
P1034,16
P0067,16
P0071,16
P0210,16
P1079,16
P0535,16
P0612,16
P0060,16
P0064,16
P0088,16
P0923,16
P0381,16
P0497,16
P0858,16
P1054,16
P1662,16
P0744,16
P1045,16
P0978,16
P0616,16
P1264,16
P0432,16
P0252,16
P0277,16
P0156,16
P0115,16
P1359,16
P1376,16
P0117,16
P0638,16
P1405,16
P1383,16
P1528,16
P0809,15
P0833,15
P0125,15
P1792,15
P1641,15
P0283,15
P0949,15
P1820,15
P1016,15
P0461,15
P1703,15
P0057,15
P0189,15
P0569,15
P1093,15
P1130,15
P0967,15
P0158,15
P1177,15
P1285,15
P1001,15
P1227,15
P1237,15
P0738,15
P1694,15
P1318,15
P1193,15
P1142,15
P1267,15
P1328,15
P1453,15
P0257,15
P1478,15
P0639,14
P0126,14
P0446,14
P0488,14
P0760,14
P1098,14
P0964,14
P1610,14
P1638,14
P0630,14
P1077,14
P1878,14
P0683,14
P1606,14
P1689,14
P0282,14
P0859,14
P0163,14
P0402,14
P1132,14
P1824,14
P0355,14
P1153,14
P0118,14
P0755,14
P0146,14
P0918,14
P1172,14
P0921,14
P1329,14
P1144,14
P1275,14
P1355,14
P1360,14
P0175,14
P1270,14
P1317,14
P1395,14
P0258,14
P1435,14
P0526,14
P1373,14
P1530,14
P1488,14
P1327,14
P0172,13
P1021,13
P1053,13
P1669,13
P0496,13
P0832,13
P1750,13
P0293,13
P0474,13
P0958,13
P1116,13
P0883,13
