source,target,weight
P0859,P1686,3
P0859,P1741,3
P0859,P1836,3
P0860,P1818,3
P0878,P1685,3
P0878,P1757,3
P0881,P0944,3
P0881,P1032,3
P0881,P1054,3
P0881,P1056,3
P0881,P1103,3
P0881,P1757,3
P0881,P1820,3
P0920,P0945,3
P0920,P1056,3
P0920,P1685,3
P0920,P1803,3
P0920,P1818,3
P0943,P0945,3
P0943,P1054,3
P0943,P1094,3
P0943,P1687,3
P0943,P1757,3
P0944,P0993,3
P0944,P1009,3
P0944,P1685,3
P0944,P1687,3
P0944,P1757,3
P0945,P0993,3
P0945,P1094,3
P0945,P1660,3
P0945,P1686,3
P0945,P1757,3
P0945,P1869,3
P0947,P0969,3
P0947,P1662,3
P0947,P1687,3
P0947,P1741,3
P0947,P1818,3
P0947,P1834,3
P0947,P1836,3
P0951,P1054,3
P0951,P1055,3
P0951,P1056,3
P0951,P1687,3
P0951,P1741,3
P0951,P1818,3
P0969,P1056,3
P0969,P1071,3
P0969,P1103,3
P0969,P1662,3
P0969,P1686,3
P0969,P1689,3
P0969,P1820,3
P0970,P1803,3
P0993,P1071,3
P0993,P1687,3
P0993,P1818,3
P1009,P1815,3
P1030,P1094,3
P1032,P1689,3
P1032,P1692,3
P1054,P1687,3
P1054,P1741,3
P1054,P1834,3
P1055,P1834,3
P1056,P1685,3
P1056,P1803,3
P1071,P1689,3
P1071,P1738,3
P1071,P1820,3
P1093,P1687,3
P1093,P1741,3
P1093,P1870,3
P1094,P1803,3
P1103,P1686,3
P1103,P1803,3
P1103,P1818,3
P1103,P1865,3
P1103,P1870,3
P1610,P1803,3
P1611,P1685,3
P1612,P1689,3
P1660,P1661,3
P1660,P1864,3
P1660,P1869,3
P1662,P1741,3
P1662,P1820,3
P1669,P1821,3
P1685,P1686,3
P1685,P1757,3
P1685,P1818,3
P1687,P1692,3
P1687,P1803,3
P1687,P1818,3
P1689,P1803,3
P1689,P1820,3
P1692,P1738,3
P1692,P1818,3
P1692,P1820,3
P1692,P1865,3
P1803,P1826,3
P1818,P1834,3
P0372,P0909,3
P0372,P1011,3
P0372,P1034,3
P0769,P1011,3
P0769,P1012,3
P0769,P1015,3
P0909,P1016,3
P1011,P1034,3
P1012,P1034,3
P0163,P0711,3
P0163,P1823,3
P0371,P1839,3
P0711,P0744,3
P0713,P0743,3
P0713,P0744,3
P0714,P0737,3
P0714,P0743,3
P0714,P0744,3
P0714,P1823,3
P0714,P1839,3
P0737,P1779,3
P0737,P1791,3
P0743,P1779,3
P0743,P1823,3
P0744,P1779,3
P0744,P1791,3
P0744,P1823,3
P0744,P1839,3
P0744,P1940,3
P1779,P1791,3
P1791,P1839,3
P1823,P1839,3
P0565,P0588,3
P0565,P0617,3
P0565,P1656,3
P0179,P0431,3
P0179,P0800,3
P0179,P0873,3
P0179,P0922,3
P0179,P1111,3
P0179,P1658,3
P0179,P1686,3
P0275,P0379,3
P0275,P0402,3
P0275,P0431,3
P0275,P0548,3
P0275,P0982,3
P0337,P0402,3
P0337,P0538,3
P0337,P0772,3
P0337,P1022,3
P0340,P0538,3
P0340,P0880,3
P0340,P1686,3
P0352,P0404,3
P0352,P0414,3
P0352,P0531,3
P0352,P0538,3
P0352,P0772,3
P0352,P0800,3
P0352,P0880,3
P0352,P0925,3
P0352,P1050,3
P0352,P1097,3
P0352,P1756,3
P0379,P0414,3
P0379,P0772,3
P0379,P1658,3
P0379,P1756,3
P0402,P0713,3
P0402,P0873,3
P0402,P0925,3
P0402,P1839,3
P0404,P0414,3
P0404,P0713,3
P0404,P0922,3
P0404,P0982,3
P0404,P1111,3
P0404,P1607,3
P0404,P1645,3
P0414,P0707,3
P0414,P0800,3
P0414,P0922,3
P0414,P0982,3
P0414,P1096,3
P0417,P0531,3
P0417,P0922,3
P0417,P1096,3
P0431,P0707,3
P0431,P0800,3
P0431,P0812,3
P0431,P0982,3
P0449,P0982,3
P0449,P1022,3
P0449,P1756,3
P0531,P0987,3
P0531,P1022,3
P0531,P1756,3
P0538,P0548,3
P0538,P0873,3
P0538,P0879,3
P0538,P0982,3
P0538,P1111,3
P0538,P1686,3
P0548,P0772,3
P0548,P0800,3
P0548,P0812,3
P0548,P0879,3
P0548,P1022,3
P0548,P1686,3
P0707,P1645,3
P0713,P0982,3
P0762,P0772,3
P0771,P0812,3
P0771,P1097,3
P0772,P0879,3
P0772,P0922,3
P0772,P0925,3
P0772,P1022,3
P0800,P0812,3
P0800,P0925,3
P0800,P1111,3
P0800,P1607,3
P0800,P1654,3
P0812,P1654,3
P0873,P0925,3
P0873,P1097,3
P0873,P1111,3
P0873,P1658,3
P0873,P1756,3
P0879,P1658,3
P0879,P1839,3
P0880,P1645,3
P0880,P1756,3
P0922,P0982,3
P0922,P1022,3
P0925,P0982,3
P0925,P1111,3
P0925,P1686,3
P0982,P1658,3
P1022,P1050,3
P1022,P1607,3
P1096,P1686,3
P1097,P1645,3
P1097,P1658,3
P1111,P1645,3
P1607,P1686,3
P1607,P1756,3
P1654,P1658,3
P1654,P1839,3
P1658,P1839,3
P1756,P1839,3
P0630,P0854,3
P0854,P1013,3
P0291,P0466,3
P0291,P1305,3
P0291,P1674,3
P0291,P1823,3
P0291,P1940,3
P0430,P0507,3
P0430,P1019,3
P0466,P0928,3
P0555,P1019,3
P0555,P1305,3
P0759,P0805,3
P0759,P1823,3
P0761,P0849,3
P0761,P0925,3
P0761,P1019,3
P0761,P1823,3
P0925,P0928,3
P0925,P1019,3
P0925,P1102,3
P0928,P1102,3
P1019,P1940,3
P1305,P1823,3
P0007,P0464,3
P0007,P0842,3
P0007,P0849,3
P0007,P1097,3
P0007,P1106,3
P0007,P1110,3
P0007,P1608,3
P0007,P1674,3
P0292,P0603,3
P0292,P1106,3
P0292,P1121,3
P0292,P1607,3
P0292,P1685,3
P0296,P0464,3
P0296,P0465,3
P0296,P0570,3
P0296,P0743,3
P0296,P0842,3
P0296,P0947,3
P0296,P1763,3
P0296,P1839,3
P0379,P0768,3
P0379,P1014,3
P0379,P1103,3
P0379,P1107,3
P0379,P1121,3
P0379,P1608,3
P0379,P1777,3
P0415,P0945,3
P0415,P1013,3
P0415,P1607,3
P0415,P1839,3
P0451,P0846,3
P0451,P1097,3
P0451,P1608,3
P0451,P1674,3
P0464,P0736,3
P0464,P0810,3
P0464,P0849,3
P0464,P0877,3
P0464,P0925,3
P0464,P1105,3
P0464,P1608,3
P0464,P1674,3
P0464,P1686,3
P0464,P1777,3
P0464,P1839,3
P0563,P0736,3
P0563,P0743,3
P0563,P0807,3
P0563,P0925,3
P0563,P1013,3
P0563,P1105,3
P0563,P1607,3
P0563,P1791,3
P0563,P1839,3
P0570,P0768,3
P0570,P0842,3
P0570,P1107,3
P0570,P1686,3
P0603,P0604,3
P0603,P0807,3
P0603,P1685,3
P0603,P1687,3
P0604,P0880,3
P0604,P0947,3
P0604,P1120,3
P0604,P1687,3
P0683,P0925,3
P0736,P1103,3
P0736,P1105,3
P0736,P1121,3
P0736,P1763,3
P0743,P1103,3
P0743,P1120,3
P0761,P0810,3
P0761,P1120,3
P0761,P1607,3
P0761,P1614,3
P0761,P1687,3
P0761,P1763,3
P0768,P0849,3
P0768,P0925,3
P0768,P1097,3
P0768,P1103,3
P0768,P1106,3
P0768,P1614,3
P0768,P1674,3
P0768,P1687,3
P0807,P0849,3
P0807,P0925,3
P0807,P0945,3
P0807,P1014,3
P0807,P1105,3
P0807,P1107,3
P0807,P1777,3
P0810,P0849,3
P0810,P0945,3
P0810,P0947,3
P0810,P1103,3
P0810,P1105,3
P0810,P1608,3
P0842,P0858,3
P0842,P0945,3
P0842,P1097,3
P0842,P1107,3
P0842,P1674,3
P0846,P1607,3
P0846,P1608,3
P0846,P1685,3
P0846,P1763,3
P0849,P0945,3
P0849,P0947,3
P0849,P1103,3
P0849,P1105,3
P0849,P1106,3
P0849,P1120,3
P0849,P1608,3
P0849,P1685,3
P0858,P1105,3
P0858,P1108,3
P0858,P1614,3
P0859,P1097,3
P0859,P1839,3
P0877,P1121,3
P0880,P0945,3
P0880,P1013,3
P0880,P1014,3
P0880,P1121,3
P0880,P1614,3
P0880,P1685,3
P0916,P0945,3
P0916,P1687,3
P0920,P1614,3
P0920,P1674,3
P0920,P1791,3
P0925,P1105,3
P0945,P1097,3
P0945,P1105,3
P0945,P1121,3
P0947,P1097,3
P0947,P1674,3
P1013,P1096,3
P1013,P1120,3
P1013,P1607,3
P1013,P1614,3
P1014,P1121,3
P1096,P1103,3
P1096,P1121,3
P1097,P1110,3
P1097,P1608,3
P1097,P1674,3
P1105,P1608,3
P1105,P1614,3
P1105,P1687,3
P1105,P1839,3
P1107,P1120,3
P1120,P1121,3
P1120,P1614,3
P1120,P1687,3
P1120,P1763,3
P1121,P1614,3
P1608,P1614,3
P1614,P1674,3
P1614,P1686,3
P1614,P1839,3
P1674,P1839,3
P1685,P1763,3
P1686,P1763,3
P1686,P1777,3
P1687,P1777,3
P0063,P0502,3
P0065,P1113,3
P0434,P0854,3
P0434,P1111,3
P0450,P0854,3
P0450,P1023,3
P0450,P1045,3
P0450,P1079,3
P0482,P1112,3
P0502,P0807,3
P0502,P1097,3
P0502,P1121,3
P0736,P1023,3
P0758,P0853,3
P0758,P1045,3
P0807,P1023,3
P0807,P1045,3
P0807,P1111,3
P0812,P1045,3
P0853,P1023,3
P0853,P1045,3
P0853,P1121,3
P0854,P0922,3
P0854,P1079,3
P0854,P1112,3
P0854,P1113,3
P0922,P1079,3
P0922,P1112,3
P1023,P1686,3
P1023,P1940,3
P1045,P1096,3
P1045,P1111,3
P1045,P1686,3
P1050,P1121,3
P1079,P1096,3
P1079,P1097,3
P1079,P1111,3
P1111,P1940,3
P1112,P1686,3
P1121,P1940,3
P1686,P1940,3
P1130,P1132,3
P0101,P0486,3
P0101,P1686,3
P0148,P0307,3
P0148,P0486,3
P0148,P0532,3
P0211,P0343,3
P0211,P0414,3
P0211,P0736,3
P0211,P0948,3
P0211,P1686,3
P0259,P0307,3
P0259,P0343,3
P0259,P0532,3
P0259,P1686,3
P0299,P0967,3
P0302,P0756,3
P0302,P0880,3
P0302,P0967,3
P0305,P0414,3
P0305,P0948,3
P0305,P0967,3
P0305,P1023,3
P0305,P1940,3
P0307,P0339,3
P0307,P0736,3
P0307,P0948,3
P0307,P1039,3
P0309,P0343,3
P0309,P0880,3
P0339,P0967,3
P0339,P1940,3
P0343,P0610,3
P0344,P0736,3
P0344,P0967,3
P0414,P0948,3
P0414,P0949,3
P0486,P0556,3
P0486,P0880,3
P0486,P1940,3
P0532,P0880,3
P0532,P0967,3
P0610,P0880,3
P0610,P0949,3
P0611,P0948,3
P0611,P0949,3
P0736,P0834,3
P0756,P1023,3
P0834,P1023,3
P0880,P0949,3
P0967,P1940,3
P0038,P1100,3
P0038,P1595,3
P0106,P0381,3
P0106,P1687,3
P0130,P0153,3
P0130,P1599,3
P0151,P0239,3
P0151,P0379,3
P0151,P0853,3
P0206,P0207,3
P0207,P0906,3
P0239,P0379,3
P0239,P0853,3
P0239,P1824,3
P0379,P0381,3
P0379,P1808,3
P0381,P0853,3
P0381,P0906,3
P0381,P1102,3
P0381,P1686,3
P0491,P0853,3
P0523,P0603,3
P0523,P1824,3
P0603,P0852,3
P0603,P0993,3
P0603,P1824,3
P0852,P1686,3
P0853,P1100,3
P0853,P1102,3
P0853,P1685,3
P0853,P1824,3
P0906,P1595,3
P1100,P1102,3
P1100,P1685,3
P1100,P1687,3
P1101,P1824,3
P1594,P1687,3
P1599,P1824,3
P0055,P0355,3
P0055,P0875,3
P0056,P1940,3
P0255,P0281,3
P0255,P0355,3
P0255,P1739,3
P0281,P0493,3
P0281,P0708,3
P0281,P0963,3
P0281,P1739,3
P0355,P0963,3
P0355,P1096,3
P0491,P0711,3
P0491,P0962,3
P0491,P0963,3
P0493,P0708,3
P0493,P1940,3
P0708,P0875,3
P0708,P1096,3
P0875,P0978,3
P0875,P1940,3
P0962,P0978,3
P0963,P1739,3
P0978,P1096,3
P1541,P1940,3
P1707,P1739,3
P1739,P1940,3
P0050,P1097,3
P0050,P1132,3
P0050,P1607,3
P0050,P1871,3
P0298,P0821,3
P0298,P1122,3
P0298,P1156,3
P0298,P1603,3
P0493,P1094,3
P0493,P1097,3
P0493,P1103,3
P0493,P1122,3
P0493,P1274,3
P0493,P1603,3
P0493,P1866,3
P0595,P0618,3
P0595,P1031,3
P0595,P1094,3
P0595,P1122,3
P0595,P1131,3
P0595,P1132,3
P0595,P1213,3
P0595,P1866,3
P0618,P1122,3
P0618,P1274,3
P0618,P1303,3
P0618,P1603,3
P0644,P1122,3
P0644,P1213,3
P0644,P1273,3
P0644,P1866,3
P0821,P1274,3
P0821,P1607,3
P0872,P1097,3
P0872,P1103,3
P0874,P1214,3
P0875,P1097,3
P0875,P1607,3
P1029,P1097,3
P1029,P1303,3
P1030,P1303,3
P1031,P1103,3
P1031,P1122,3
P1031,P1132,3
P1031,P1866,3
P1032,P1122,3
P1032,P1158,3
P1032,P1603,3
P1032,P1866,3
P1094,P1214,3
P1094,P1274,3
P1094,P1303,3
P1094,P1866,3
P1097,P1130,3
P1097,P1131,3
P1097,P1156,3
P1097,P1258,3
P1097,P1273,3
P1097,P1274,3
P1097,P1303,3
P1097,P1871,3
P1103,P1131,3
P1103,P1153,3
P1103,P1213,3
P1103,P1258,3
P1103,P1259,3
P1103,P1273,3
P1103,P1603,3
P1112,P1213,3
P1112,P1214,3
P1112,P1273,3
P1112,P1603,3
P1112,P1866,3
P1112,P1870,3
P1122,P1131,3
P1122,P1132,3
P1122,P1153,3
P1122,P1214,3
P1122,P1258,3
P1122,P1274,3
P1122,P1677,3
P1122,P1789,3
P1122,P1870,3
P1131,P1274,3
P1131,P1866,3
P1132,P1153,3
P1132,P1156,3
P1132,P1213,3
P1153,P1866,3
P1156,P1258,3
P1156,P1866,3
P1158,P1274,3
P1158,P1866,3
P1213,P1273,3
P1213,P1303,3
P1214,P1303,3
P1214,P1603,3
P1214,P1866,3
P1258,P1259,3
P1258,P1603,3
P1259,P1603,3
P1273,P1303,3
P1273,P1866,3
P1273,P1870,3
P1274,P1603,3
P1303,P1603,3
P1303,P1866,3
P1603,P1866,3
P1607,P1789,3
P0007,P0989,3
P0008,P0527,3
P0008,P0962,3
P0008,P1658,3
P0049,P0239,3
P0049,P0605,3
P0049,P0989,3
P0049,P1635,3
P0049,P1636,3
P0239,P0722,3
P0239,P1734,3
P0239,P1839,3
P0370,P1839,3
P0425,P1734,3
P0527,P0605,3
P0527,P1635,3
P0527,P1734,3
P0527,P1839,3
P0605,P1635,3
P0722,P1635,3
P0962,P1658,3
P0962,P1839,3
P1634,P1636,3
P1635,P1734,3
P1636,P1658,3
P1658,P1734,3
P1734,P1839,3
P0412,P0670,3
P0412,P1019,3
P0412,P1022,3
P0412,P1056,3
P0564,P0810,3
P0564,P0854,3
P0564,P0911,3
P0564,P0920,3
P0566,P0810,3
P0566,P1022,3
P0566,P1054,3
P0566,P1056,3
P0668,P1097,3
P0670,P0810,3
P0670,P0854,3
P0670,P1101,3
P0851,P0853,3
P0851,P0880,3
P0853,P1022,3
P0854,P1054,3
P0854,P1055,3
P0880,P1055,3
P0880,P1056,3
P0911,P0922,3
P0911,P1002,3
P0911,P1055,3
P0911,P1066,3
P0911,P1068,3
P0920,P1022,3
P1002,P1019,3
P1002,P1066,3
P1002,P1096,3
P1002,P1101,3
P1019,P1101,3
P1055,P1096,3
P1055,P1097,3
P1066,P1068,3
P1068,P1069,3
P0010,P1106,3
P0118,P0293,3
P0118,P0576,3
P0197,P0198,3
P0197,P0588,3
P0260,P0762,3
P0293,P1940,3
P0576,P0588,3
P0578,P0588,3
P0578,P0593,3
P0588,P0593,3
P0593,P0607,3
P0025,P0805,3
P0025,P1041,3
P0025,P1260,3
P0025,P1264,3
P0067,P0617,3
P0067,P1097,3
P0071,P0379,3
P0071,P1097,3
P0071,P1258,3
P0071,P1261,3
P0071,P1823,3
P0255,P0276,3
P0255,P0379,3
P0255,P0380,3
P0255,P0424,3
P0255,P0616,3
P0255,P1823,3
P0259,P0379,3
P0259,P0616,3
P0259,P0847,3
P0259,P0963,3
P0259,P1258,3
P0276,P0379,3
P0276,P0380,3
P0276,P1041,3
P0379,P0616,3
P0379,P0617,3
P0379,P0983,3
P0379,P1041,3
P0379,P1258,3
P0379,P1264,3
P0380,P0616,3
P0380,P0847,3
P0380,P0852,3
P0380,P0862,3
P0380,P1041,3
P0380,P1823,3
P0424,P0515,3
P0424,P0616,3
P0424,P0617,3
P0424,P0852,3
P0424,P1260,3
P0515,P0681,3
P0515,P0863,3
P0531,P0617,3
P0531,P0963,3
P0531,P1264,3
P0564,P0617,3
P0564,P1102,3
P0564,P1258,3
P0567,P1645,3
P0616,P0617,3
P0616,P0805,3
P0616,P0852,3
P0617,P0681,3
P0617,P0847,3
P0617,P0852,3
P0617,P0963,3
P0617,P1261,3
P0617,P1645,3
P0681,P0682,3
P0805,P1041,3
P0847,P0862,3
P0847,P0983,3
P0852,P1264,3
P0852,P1645,3
P0862,P1721,3
P0863,P0963,3
P0920,P0963,3
P0920,P1043,3
P0920,P1102,3
P0920,P1258,3
P0963,P1102,3
P1041,P1264,3
P1097,P1264,3
P1102,P1264,3
P1258,P1260,3
P1258,P1261,3
P1258,P1823,3
P1260,P1264,3
P1260,P1569,3
P1260,P1823,3
P1261,P1823,3
P0151,P0755,3
P0379,P0755,3
P0379,P1711,3
P0755,P0799,3
P0755,P0800,3
P0755,P1776,3
P0799,P0800,3
P0799,P1009,3
P0799,P1940,3
P0067,P0962,3
P0068,P1636,3
P0531,P0814,3
P0813,P0962,3
P0813,P1635,3
P0814,P0962,3
P0815,P0962,3
P0962,P1639,3
P1818,P1819,3
P0140,P0141,3
P0140,P0719,3
P0141,P0155,3
P0141,P0158,3
P0141,P0618,3
P0141,P1656,3
P0141,P1734,3
P0141,P1744,3
P0141,P1803,3
P0143,P0398,3
P0143,P0570,3
P0143,P0615,3
P0143,P1029,3
P0143,P1129,3
P0143,P1303,3
P0143,P1689,3
P0143,P1794,3
P0146,P0191,3
P0146,P0240,3
P0146,P0906,3
P0146,P1097,3
P0146,P1129,3
P0155,P0158,3
P0155,P1794,3
P0158,P0239,3
P0158,P0718,3
P0158,P0723,3
P0158,P1555,3
P0158,P1803,3
P0191,P0721,3
P0239,P0723,3
P0379,P0432,3
P0379,P0884,3
P0379,P1303,3
P0398,P1303,3
P0399,P1594,3
P0432,P0570,3
P0432,P0768,3
P0432,P1794,3
P0570,P0595,3
P0570,P0618,3
P0570,P0961,3
P0570,P1303,3
P0570,P1803,3
P0615,P1103,3
P0615,P1689,3
P0618,P0906,3
P0618,P0961,3
P0618,P1794,3
P0718,P0719,3
P0718,P0723,3
P0719,P0721,3
P0719,P0723,3
P0719,P1656,3
P0906,P1097,3
P1094,P1734,3
P1097,P1689,3
P1103,P1794,3
P1129,P1303,3
P1129,P1689,3
P1129,P1794,3
P1555,P1594,3
P1594,P1794,3
P1734,P1794,3
P0059,P1722,3
P0059,P1940,3
P0216,P1609,3
P0216,P1656,3
P0226,P1755,3
P0247,P0796,3
P0247,P1662,3
P0251,P0707,3
P0252,P1940,3
P0363,P0707,3
P0707,P0791,3
P0707,P0960,3
P0707,P1606,3
P0707,P1609,3
P0707,P1755,3
P0707,P1830,3
P0796,P1662,3
P1554,P1832,3
P1555,P1622,3
P1606,P1940,3
P1609,P1755,3
P1609,P1830,3
P1609,P1940,3
P1621,P1622,3
P1621,P1722,3
P1621,P1940,3
P1645,P1940,3
P0191,P0434,3
P0191,P0532,3
P0191,P0555,3
P0191,P0972,3
P0363,P0536,3
P0434,P1794,3
P0447,P0536,3
P0447,P0555,3
P0447,P0873,3
P0447,P0972,3
P0449,P0536,3
P0449,P0618,3
P0532,P0612,3
P0532,P0680,3
P0532,P0873,3
P0532,P1034,3
P0532,P1834,3
P0555,P0922,3
P0612,P0707,3
P0612,P0873,3
P0680,P0707,3
P0680,P0922,3
P0680,P1940,3
P0873,P1090,3
P0922,P1090,3
P1090,P1834,3
P1090,P1940,3
P1794,P1834,3
P0050,P0488,3
P0166,P0302,3
P0166,P0488,3
P0488,P1940,3
P0022,P0241,3
P0022,P0289,3
P0022,P0570,3
P0022,P0632,3
P0022,P0642,3
P0022,P0711,3
P0022,P1131,3
P0243,P0268,3
P0243,P0607,3
P0243,P1687,3
P0261,P0548,3
P0261,P0570,3
P0261,P0598,3
P0266,P0570,3
P0266,P1122,3
P0268,P0598,3
P0268,P0711,3
P0277,P0280,3
P0277,P0711,3
P0277,P1122,3
P0277,P1687,3
P0277,P1866,3
P0280,P0570,3
P0280,P0645,3
P0280,P0905,3
P0280,P1608,3
P0280,P1687,3
P0280,P1782,3
P0289,P0437,3
P0289,P0642,3
P0289,P0982,3
P0289,P1131,3
P0289,P1177,3
P0290,P0437,3
P0290,P0982,3
P0290,P1131,3
P0290,P1177,3
P0436,P0437,3
P0436,P0491,3
P0436,P0588,3
P0437,P1608,3
P0491,P0588,3
P0548,P0598,3
P0548,P0618,3
P0548,P1603,3
P0548,P1656,3
P0548,P1687,3
P0570,P0711,3
P0570,P0905,3
P0570,P0982,3
P0570,P1175,3
P0570,P1177,3
P0588,P0737,3
P0589,P0606,3
P0589,P0607,3
P0598,P1177,3
P0598,P1687,3
P0598,P1750,3
P0606,P0621,3
P0606,P0711,3
P0607,P0621,3
P0618,P0711,3
P0618,P1818,3
P0621,P1132,3
P0621,P1866,3
P0632,P0737,3
P0632,P1750,3
P0711,P0905,3
P0711,P0908,3
P0711,P1132,3
P0711,P1274,3
P0711,P1656,3
P0737,P0905,3
P0737,P0982,3
P0737,P1603,3
P0737,P1608,3
P0737,P1750,3
P0905,P1094,3
P0905,P1687,3
P0905,P1782,3
P0963,P0982,3
P0963,P1605,3
P0963,P1656,3
P0982,P1122,3
P0982,P1131,3
P0982,P1608,3
P0982,P1687,3
P0982,P1750,3
P1094,P1177,3
P1094,P1608,3
P1103,P1681,3
P1131,P1750,3
P1274,P1687,3
P1603,P1608,3
P1608,P1656,3
P1608,P1866,3
P1656,P1818,3
P0499,P0500,3
P0499,P0600,3
P0499,P0707,3
P0499,P1618,3
P0500,P0555,3
P0500,P0707,3
P0500,P1940,3
P0531,P0555,3
P1594,P1940,3
P1595,P1940,3
P0053,P0284,3
P0053,P0414,3
P0053,P0601,3
P0053,P0849,3
P0053,P0852,3
P0053,P1213,3
P0093,P0807,3
P0250,P0461,3
P0250,P1124,3
P0252,P0283,3
P0252,P0798,3
P0252,P0805,3
P0252,P1685,3
P0266,P0284,3
P0266,P0461,3
P0281,P0414,3
P0281,P0807,3
P0283,P0284,3
P0283,P0379,3
P0283,P0849,3
P0283,P1734,3
P0284,P0379,3
P0284,P0461,3
P0284,P1060,3
P0292,P0992,3
P0292,P1734,3
P0297,P0379,3
P0297,P0800,3
P0297,P0992,3
P0297,P1122,3
P0297,P1213,3
P0379,P0461,3
P0379,P0514,3
P0379,P0641,3
P0379,P0834,3
P0379,P1046,3
P0379,P1060,3
P0379,P1124,3
P0413,P1124,3
P0414,P0992,3
P0414,P1124,3
P0414,P1213,3
P0460,P1122,3
P0461,P0849,3
P0492,P0834,3
P0492,P1213,3
P0514,P0616,3
P0514,P0798,3
P0514,P0849,3
P0514,P0972,3
P0514,P1046,3
P0514,P1124,3
P0514,P1213,3
P0514,P1702,3
P0615,P0852,3
P0616,P0800,3
P0616,P1734,3
P0641,P1121,3
P0673,P1122,3
P0673,P1734,3
P0798,P0852,3
P0800,P0972,3
P0800,P1121,3
P0800,P1124,3
P0805,P0834,3
P0807,P0834,3
P0807,P0865,3
P0807,P0918,3
P0807,P0972,3
P0807,P1059,3
P0807,P1094,3
P0807,P1132,3
P0807,P1213,3
P0834,P1121,3
P0852,P1046,3
P0852,P1060,3
P0865,P0918,3
P0865,P1124,3
P0943,P1124,3
P0943,P1213,3
P0972,P1124,3
P0972,P1132,3
P0992,P1124,3
P0992,P1132,3
P0992,P1734,3
P1046,P1124,3
P1060,P1618,3
P1094,P1124,3
P1124,P1213,3
P1124,P1685,3
P1618,P1734,3
P0088,P0296,3
P0109,P0266,3
P0109,P0296,3
P0109,P0461,3
P0109,P1596,3
P0179,P0842,3
P0179,P1603,3
P0179,P1834,3
P0266,P0432,3
P0296,P1835,3
P0432,P0440,3
P0432,P0461,3
P0432,P1596,3
P0432,P1834,3
P0440,P1596,3
P0440,P1603,3
P0461,P0469,3
P0461,P1596,3
P0469,P1603,3
P0145,P0379,3
P1123,P1940,3
P0060,P0428,3
P0060,P0441,3
P0060,P0450,3
P0060,P0456,3
P0060,P0611,3
P0060,P0685,3
P0060,P0699,3
P0060,P0880,3
P0060,P0949,3
P0060,P1111,3
P0060,P1839,3
P0061,P0165,3
P0061,P0453,3
P0061,P0685,3
P0061,P0697,3
P0061,P1662,3
P0061,P1674,3
P0061,P1839,3
P0062,P0179,3
P0062,P0428,3
P0062,P0441,3
P0062,P0949,3
P0062,P1096,3
P0062,P1111,3
P0065,P0427,3
P0065,P0453,3
P0065,P0456,3
P0065,P0564,3
P0065,P0565,3
P0065,P0566,3
P0065,P0611,3
P0065,P0699,3
P0065,P1662,3
P0125,P1097,3
P0126,P0450,3
P0126,P1608,3
P0126,P1674,3
P0165,P0357,3
P0165,P0610,3
P0165,P0880,3
P0165,P1097,3
P0165,P1588,3
P0165,P1591,3
P0179,P0427,3
P0179,P0450,3
P0179,P0564,3
P0179,P0566,3
P0179,P0685,3
P0179,P1608,3
P0179,P1661,3
P0195,P0451,3
P0195,P0456,3
P0195,P0565,3
P0195,P0610,3
P0195,P0880,3
P0195,P1096,3
P0195,P1839,3
P0357,P1661,3
P0427,P0428,3
P0427,P0456,3
P0427,P0565,3
P0427,P0566,3
P0427,P0685,3
P0427,P0880,3
P0427,P0884,3
P0427,P1050,3
P0427,P1111,3
P0427,P1608,3
P0428,P0453,3
P0428,P0880,3
P0436,P0610,3
P0436,P0949,3
P0440,P0450,3
P0440,P0570,3
P0440,P0800,3
P0440,P0948,3
P0440,P1839,3
P0441,P0880,3
P0441,P0949,3
P0441,P1839,3
P0450,P0451,3
P0450,P0453,3
P0450,P0456,3
P0450,P0565,3
P0450,P0610,3
P0450,P1674,3
P0453,P0611,3
P0453,P1111,3
P0453,P1662,3
P0456,P1050,3
P0456,P1096,3
P0565,P0800,3
P0565,P1674,3
P0566,P0570,3
P0566,P0611,3
P0566,P0800,3
P0566,P1662,3
P0566,P1674,3
P0570,P0610,3
P0570,P0697,3
P0570,P0948,3
P0610,P1050,3
P0610,P1608,3
P0611,P0699,3
P0611,P1097,3
P0611,P1662,3
P0685,P0697,3
P0685,P0949,3
P0685,P1096,3
P0685,P1662,3
P0685,P1839,3
P0697,P0800,3
P0697,P0880,3
P0697,P0942,3
P0697,P0948,3
P0697,P1096,3
P0697,P1111,3
P0699,P0884,3
P0800,P1608,3
P0800,P1674,3
P0880,P1661,3
P0884,P1111,3
P0884,P1662,3
P0948,P1111,3
P0948,P1839,3
P1050,P1661,3
P1050,P1662,3
P1096,P1591,3
P1096,P1662,3
P1097,P1662,3
P1111,P1608,3
P1588,P1591,3
P1608,P1662,3
P1662,P1674,3
P0248,P0612,3
P0248,P0962,3
P0509,P0556,3
P0531,P0556,3
P0556,P0973,3
P0612,P0962,3
P0058,P0617,3
P0166,P0440,3
P0166,P1002,3
P0166,P1258,3
P0228,P0617,3
P0232,P0911,3
P0279,P1153,3
P0279,P1156,3
P0307,P0911,3
P0307,P1258,3
P0352,P0911,3
P0352,P1153,3
P0432,P0617,3
P0432,P1940,3
P0440,P0779,3
P0617,P1002,3
P0779,P1153,3
P0911,P1153,3
P0911,P1156,3
P0911,P1590,3
P1153,P1940,3
P0057,P0259,3
P0057,P1285,3
