source,target,weight
P1362,P1363,9
P1362,P1794,9
P1011,P1096,9
P1111,P1316,9
P0570,P1316,9
P0449,P1254,9
P0910,P1050,9
P1124,P1316,9
P1288,P1316,9
P1302,P1316,9
P0982,P1316,9
P0920,P1316,9
P0704,P1316,9
P1277,P1316,9
P1052,P1940,9
P0851,P1940,8
P0411,P0707,8
P0427,P0707,8
P0498,P0515,8
P0813,P1940,8
P0856,P0911,8
P0911,P1940,8
P0097,P0707,8
P0297,P0570,8
P0297,P0981,8
P0570,P1794,8
P0617,P0707,8
P0707,P1102,8
P1608,P1687,8
P0049,P0707,8
P0181,P0854,8
P0302,P0307,8
P0853,P1607,8
P0007,P0049,8
P0008,P0049,8
P0566,P1097,8
P0879,P0920,8
P1105,P1940,8
P0255,P1096,8
P0255,P1940,8
P0548,P1096,8
P0617,P0920,8
P0707,P1834,8
P0379,P0531,8
P0427,P0800,8
P0427,P1940,8
P0708,P1020,8
P0617,P1940,8
P0853,P1839,8
P0429,P1839,8
P0062,P0065,8
P0065,P0707,8
P0707,P0923,8
P0920,P1050,8
P0191,P1589,8
P0191,P1940,8
P0711,P1940,8
P1791,P1940,8
P0565,P1940,8
P0179,P1096,8
P0531,P1050,8
P0538,P1097,8
P0713,P1111,8
P1050,P1839,8
P1096,P1111,8
P0379,P0555,8
P0379,P0807,8
P0464,P1120,8
P0570,P0807,8
P0807,P1096,8
P0807,P1686,8
P1097,P1103,8
P1607,P1608,8
P0853,P1111,8
P0854,P1096,8
P0854,P1097,8
P0854,P1111,8
P1096,P1112,8
P0339,P0344,8
P0711,P1096,8
P0962,P1096,8
P0963,P1940,8
P0566,P0911,8
P0880,P0911,8
P0191,P1097,8
P0707,P0761,8
P0707,P1656,8
P0191,P0447,8
P0447,P0704,8
P0555,P0707,8
P0704,P0707,8
P0065,P1608,8
P0565,P0566,8
P0570,P0800,8
P0531,P0532,8
P0617,P0911,8
P0880,P1124,8
P0911,P1090,8
P0911,P1657,8
P0412,P0982,8
P0707,P0708,8
P0707,P0927,8
P0711,P1756,8
P0927,P0982,8
P0297,P1603,8
P0707,P1199,8
P0380,P0411,8
P0707,P1203,8
P1096,P1356,8
P1112,P1124,8
P0191,P0909,8
P0191,P1124,8
P0449,P0911,8
P0449,P1124,8
P0911,P1589,8
P1111,P1245,8
P1111,P1256,8
P1111,P1794,8
P1244,P1245,8
P0239,P0707,8
P0297,P0427,8
P0379,P1256,8
P0709,P0911,8
P0909,P1823,8
P0911,P1823,8
P0570,P0853,8
P0463,P0464,8
P0707,P1281,8
P1257,P1280,8
P0707,P0905,8
P0911,P1607,8
P1245,P1253,8
P1316,P1607,8
P0191,P0853,8
P1203,P1316,8
P1251,P1253,8
P1256,P1940,8
P0097,P0853,8
P1020,P1286,8
P0179,P0920,8
P0853,P1314,8
P1281,P1834,8
P0920,P1356,8
P1096,P1253,8
P1252,P1687,8
P0429,P1097,8
P0463,P0531,8
P0464,P1741,8
P0531,P1253,8
P0548,P0909,8
P0854,P1253,8
P0909,P0920,8
P0909,P1050,8
P0909,P1097,8
P0909,P1607,8
P1050,P1314,8
P1097,P1253,8
P1097,P1362,8
P0570,P0909,8
P0910,P1020,8
P0910,P1111,8
P1111,P1253,8
P1111,P1254,8
P1111,P1362,8
P1113,P1252,8
P1124,P1253,8
P1124,P1254,8
P1254,P1362,8
P1281,P1362,8
P0807,P0856,8
P0856,P1096,8
P0464,P1090,8
P0097,P0411,8
P0097,P1272,8
P0411,P1316,8
P0707,P1351,8
P0910,P1352,8
P0910,P1354,8
P0911,P1351,8
P0911,P1352,8
P1351,P1352,8
P1352,P1354,8
P0379,P1316,8
P0555,P0570,8
P0449,P0910,8
P0566,P1252,8
P0566,P1253,8
P0566,P1256,8
P1097,P1252,8
P0531,P1090,8
P0927,P1940,8
P1201,P1316,8
P1316,P1794,8
P0191,P0856,8
P0191,P1351,8
P0852,P1316,8
P0853,P1254,8
P0880,P1316,8
P1286,P1308,8
P1316,P1352,8
P0531,P1316,8
P0532,P0847,8
P0800,P1823,8
P0807,P1316,8
P0856,P0982,8
P0191,P1362,8
P0515,P1607,8
P0498,P1316,8
P0532,P0570,8
P0824,P1940,8
P0515,P0909,8
P0617,P0909,8
P0821,P1940,8
P0909,P1096,8
P1255,P1741,8
P0851,P1791,8
P0539,P1940,7
P0411,P1020,7
P0427,P0515,7
P0429,P1020,7
P0498,P1020,7
P0707,P1091,7
P0852,P0947,7
P0944,P0945,7
P0945,P0947,7
P0814,P1940,7
P0815,P1940,7
P0834,P1940,7
P0856,P1940,7
P0069,P0707,7
P0071,P0707,7
P0181,P0515,7
P0181,P0570,7
P0191,P0399,7
P0191,P0515,7
P0279,P0707,7
P0399,P0570,7
P0399,P0707,7
P0515,P0617,7
P0570,P1608,7
P1019,P1102,7
P0062,P0707,7
P0297,P1607,7
P0298,P0853,7
P0673,P0707,7
P0703,P0853,7
P0703,P1596,7
P0853,P0982,7
P0982,P1052,7
P0007,P0008,7
P0379,P0920,7
P0379,P1755,7
P0411,P0880,7
P0412,P1096,7
P0449,P0879,7
P0449,P0905,7
P0449,P1940,7
P0879,P0922,7
P0879,P1097,7
P0905,P1096,7
P0922,P1940,7
P0343,P0344,7
P1776,P1940,7
P1795,P1940,7
P0097,P0880,7
P0097,P1096,7
P0097,P1839,7
P0191,P1101,7
P0191,P1834,7
P0548,P0880,7
P0570,P0880,7
P0570,P0920,7
P0570,P1096,7
P0570,P1834,7
P0707,P0873,7
P0875,P1096,7
P0415,P1940,7
P0427,P0847,7
P0531,P0800,7
P0531,P0920,7
P0708,P0714,7
P0709,P0711,7
P0922,P0981,7
P1013,P1839,7
P1015,P1940,7
P0063,P0877,7
P0962,P1791,7
P0062,P1839,7
P0704,P1795,7
P0807,P1839,7
P0905,P1607,7
P0920,P1607,7
P0062,P0064,7
P0065,P0684,7
P0065,P0879,7
P0065,P0880,7
P0065,P0881,7
P0065,P1097,7
P0141,P1023,7
P0141,P1097,7
P0707,P0812,7
P0880,P0881,7
P0812,P1940,7
P1763,P1940,7
P0947,P1685,7
P0711,P0737,7
P0713,P1839,7
P1656,P1940,7
P0179,P0880,7
P0179,P1097,7
P0179,P1839,7
P0275,P0707,7
P0352,P0379,7
P0379,P0873,7
P0449,P1111,7
P0548,P0982,7
P0800,P1839,7
P0880,P1022,7
P0880,P1111,7
P0880,P1607,7
P0880,P1658,7
P0982,P1050,7
P0982,P1096,7
P0982,P1097,7
P1050,P1096,7
P1097,P1839,7
P1111,P1839,7
P0853,P1019,7
P0854,P1019,7
P0379,P0430,7
P0379,P0761,7
P0379,P1102,7
P0430,P0555,7
P0555,P1674,7
P1674,P1940,7
P0379,P1685,7
P0464,P1097,7
P0563,P1763,7
P0570,P1763,7
P0736,P1097,7
P0807,P0880,7
P0807,P1687,7
P0810,P1097,7
P0810,P1791,7
P1096,P1674,7
P1097,P1791,7
P1120,P1607,7
P1607,P1687,7
P1607,P1763,7
P0065,P0853,7
P0736,P1050,7
P0807,P0854,7
P0853,P1050,7
P0853,P1112,7
P1111,P1112,7
P1112,P1113,7
P1594,P1595,7
P0564,P1096,7
P0962,P0964,7
P0963,P0964,7
P1112,P1607,7
P0412,P0911,7
P0566,P1019,7
P0810,P0853,7
P0810,P0911,7
P0911,P1096,7
P0920,P1019,7
P0379,P0380,7
P0515,P0847,7
P0531,P1823,7
P0191,P0704,7
P0447,P0707,7
P0449,P0704,7
P1794,P1795,7
P0588,P0711,7
P0711,P0982,7
P0711,P1687,7
P0007,P0707,7
P0285,P0514,7
P0379,P0798,7
P0062,P0440,7
P0062,P0685,7
P0570,P0685,7
P0352,P1940,7
P0069,P1940,7
P0449,P1589,7
P1278,P1940,7
P1285,P1286,7
P0531,P1656,7
